grade,subject,source,mean_word_frequency_rank,mean_sentence_length,type_token_ratio,avg_syllables_per_word,pct_rare_words,mean_log_freq_rank,lexical_density,flesch_kincaid_grade,gunning_fog,sentence_length_variance,subordinate_clause_ratio,long_word_ratio,word_count,sentence_count
1,English,English/Class-1/Chapter-02-Greetings.md,1346.0,5.0,1.0,1.0,20.0,5.8251,1.0,-1.84,2.0,0.0,0.0,0.0,5,1
1,English,English/Class-1/Chapter-02-Greetings.md,6557.9,20.0,0.5,1.0,0.0,8.3895,1.0,4.01,8.0,0.0,0.0,0.0,20,1
1,English,English/Class-1/Chapter-02-Greetings.md,859.69,16.0,0.9375,1.6875,6.25,5.3274,1.0,10.563,13.9,0.0,2.0,0.1875,16,1
1,English,English/Class-1/Chapter-02-Greetings.md,455.48,12.5,0.76,1.32,0.0,4.2331,1.0,4.861,8.2,2.25,0.0,0.08,25,2
1,English,English/Class-1/Chapter-02-Greetings.md,595.2,5.0,0.8667,1.3333,13.33,4.8253,0.9375,2.223,2.0,20.6667,0.3333,0.0,15,3
1,English,English/Class-1/Chapter-02-Greetings.md,665.92,13.0,0.9231,1.5385,0.0,4.3438,1.0,7.634,11.354,0.0,0.0,0.1538,13,1
1,English,English/Class-1/Chapter-02-Greetings.md,1123.29,7.0,0.8571,1.0,0.0,5.6359,0.7778,-0.28,2.8,0.0,0.0,0.0,7,1
1,English,English/Class-1/Chapter-02-Greetings.md,2541.86,7.0,0.8571,1.0,28.57,6.8122,0.7778,-0.28,2.8,0.0,0.0,0.0,7,1
1,English,English/Class-1/Chapter-02-Greetings.md,2127.86,7.0,0.8571,1.0,42.86,6.4467,0.7778,-0.28,2.8,0.0,0.0,0.0,7,1
1,English,English/Class-1/Chapter-02-Greetings.md,1967.57,7.0,0.8571,1.0,42.86,5.7043,0.7778,-0.28,2.8,0.0,0.0,0.0,7,1
1,English,English/Class-1/Chapter-02-Greetings.md,1159.9,9.75,0.7949,1.359,0.0,5.2303,1.0,4.248,6.977,5.6875,0.25,0.0769,39,4
1,English,English/Class-1/Chapter-02-Greetings.md,234.83,10.0,0.8667,1.3,0.0,4.3012,1.0,3.65,5.333,26.0,0.6667,0.0333,30,3
1,English,English/Class-1/Chapter-02-Greetings.md,495.78,9.0,0.8519,1.0741,0.0,4.0957,1.0,0.594,3.6,2.6667,0.0,0.0,27,3
1,English,English/Class-1/Chapter-02-Greetings.md,222.23,4.33,1.0,1.0769,30.77,4.6108,0.8667,-0.932,1.733,2.8889,0.0,0.0,13,3
1,English,English/Class-1/Chapter-02-Greetings.md,295.33,12.0,0.9167,1.0833,8.33,4.0545,1.0,1.873,4.8,0.0,1.0,0.0,12,1
1,English,English/Class-1/Chapter-02-Greetings.md,521.7,5.75,0.6522,1.1304,0.0,4.5616,1.0,-0.008,2.3,5.6875,0.5,0.0,23,4
1,English,English/Class-1/Chapter-02-Greetings.md,150.91,22.0,0.9545,1.2727,0.0,3.7758,0.9565,8.398,8.8,0.0,0.0,0.0,22,1
1,English,English/Class-1/Chapter-02-Greetings.md,2402.43,7.0,1.0,1.0,42.86,7.4948,1.0,-1.06,2.8,0.0,0.0,0.0,7,1
1,English,English/Class-1/Chapter-02-Greetings.md,438.0,13.0,0.7308,1.3077,0.0,4.0969,1.0,4.911,8.277,4.0,0.0,0.0769,26,2
1,English,English/Class-1/Chapter-02-Greetings.md,353.6,5.0,0.8667,1.1333,13.33,3.9692,0.9375,-0.137,2.0,16.6667,0.0,0.0,15,3
1,English,English/Class-1/Chapter-02-Greetings.md,1346.0,5.0,1.0,1.0,20.0,5.8251,1.0,-1.84,2.0,0.0,0.0,0.0,5,1
1,English,English/Class-1/Chapter-02-Greetings.md,8934.6,20.0,0.5,1.0,0.0,9.0774,1.0,4.01,8.0,0.0,0.0,0.0,20,1
1,English,English/Class-1/Chapter-02-Greetings.md,873.2,15.0,0.9333,1.6667,0.0,5.2499,1.0,9.927,14.0,0.0,2.0,0.2,15,1
1,English,English/Class-1/Chapter-02-Greetings.md,562.34,11.67,0.7143,1.4,0.0,4.2944,1.0,5.48,9.238,6.2222,0.0,0.1143,35,3
1,English,English/Class-1/Chapter-02-Greetings.md,248.06,4.5,0.8889,1.2222,5.56,3.9508,0.9474,0.685,4.022,8.25,0.0,0.0556,18,4
1,English,English/Class-1/Chapter-02-Greetings.md,195.4,5.0,0.8,1.1333,33.33,3.6992,0.8824,-0.007,2.0,12.6667,0.0,0.0,15,3
1,English,English/Class-1/Chapter-02-Greetings.md,241.86,7.0,0.7857,1.2143,0.0,4.7346,0.8235,2.054,2.8,0.0,0.0,0.0,14,2
1,English,English/Class-1/Chapter-02-Greetings.md,269.29,7.0,0.7857,1.2143,0.0,4.8042,0.8235,2.054,2.8,0.0,0.0,0.0,14,2
1,English,English/Class-1/Chapter-02-Greetings.md,527.29,7.0,0.8571,1.2143,7.14,5.0788,0.8235,2.054,2.8,0.0,0.0,0.0,14,2
1,English,English/Class-1/Chapter-02-Greetings.md,554.14,7.0,0.7857,1.3571,14.29,5.094,0.8235,3.739,8.514,0.0,0.0,0.1429,14,2
1,English,English/Class-1/Chapter-02-Greetings.md,318.21,7.0,0.7857,1.3571,14.29,4.8576,0.8235,3.739,8.514,0.0,0.0,0.1429,14,2
1,English,English/Class-1/Chapter-02-Greetings.md,1113.86,5.5,0.8636,1.0909,0.0,5.3439,0.9167,-0.377,2.2,1.25,0.0,0.0,22,4
1,English,English/Class-1/Chapter-02-Greetings.md,366.4,5.0,1.0,1.0,0.0,4.2329,1.0,-1.84,2.0,0.0,0.0,0.0,5,1
1,English,English/Class-1/Chapter-02-Greetings.md,1898.91,5.75,0.8696,1.087,0.0,6.081,1.0,-0.521,2.3,0.1875,0.0,0.0,23,4
1,English,English/Class-1/Chapter-02-Greetings.md,2970.5,18.0,0.8333,1.4444,44.44,5.73,1.0,8.474,11.644,0.0,0.0,0.1111,18,1
1,English,English/Class-1/Chapter-02-Greetings.md,3792.86,7.0,0.8571,1.4286,71.43,5.9351,1.0,3.997,2.8,0.0,0.0,0.0,7,1
1,English,English/Class-1/Chapter-02-Greetings.md,3614.9,10.0,0.9,1.1,30.0,4.9961,1.0,1.29,4.0,0.0,0.0,0.0,10,1
1,English,English/Class-1/Chapter-02-Greetings.md,541.5,8.0,1.0,1.125,37.5,4.8179,1.0,0.805,3.2,0.0,0.0,0.0,8,1
1,English,English/Class-1/Chapter-02-Greetings.md,642.88,8.5,0.9412,1.5294,11.76,4.5476,1.0,5.772,8.106,0.25,0.5,0.1176,17,2
1,English,English/Class-1/Chapter-02-Greetings.md,592.62,21.0,0.8095,1.2857,0.0,4.7851,1.0,7.771,10.305,0.0,0.0,0.0476,21,1
1,English,English/Class-1/Chapter-02-Greetings.md,201.89,9.0,1.0,1.0,11.11,4.2737,1.0,-0.28,3.6,0.0,0.0,0.0,9,1
1,English,English/Class-1/Chapter-02-Greetings.md,867.65,11.5,0.8478,1.1957,0.0,4.887,1.0,3.004,5.47,47.25,0.5,0.0217,46,4
1,English,English/Class-1/Chapter-02-Greetings.md,306.23,6.5,0.7692,1.3077,23.08,4.3167,0.8125,2.961,5.677,2.25,0.5,0.0769,13,2
1,English,English/Class-1/Chapter-02-Greetings.md,306.23,6.5,0.7692,1.3077,23.08,4.3167,0.8125,2.961,5.677,2.25,0.5,0.0769,13,2
1,English,English/Class-1/Chapter-02-Greetings.md,139.17,3.0,0.8333,1.0,0.0,3.3088,0.8571,-2.425,1.2,9.0,0.0,0.0,6,2
1,English,English/Class-1/Chapter-02-Greetings.md,509.75,12.0,0.5833,1.1667,25.0,4.0948,0.8571,3.637,4.8,0.0,2.0,0.0,12,1
1,English,English/Class-1/Chapter-02-Greetings.md,1153.55,5.5,0.9091,1.2727,18.18,3.8947,0.9167,1.768,2.2,0.25,0.0,0.0,11,2
1,English,English/Class-1/Chapter-02-Greetings.md,161.04,8.67,0.8077,1.1538,0.0,3.5875,1.0,1.405,5.005,10.8889,0.3333,0.0385,26,3
1,English,English/Class-1/Chapter-02-Greetings.md,578.85,11.33,0.7353,1.4118,0.0,4.4003,1.0,5.489,9.239,4.2222,0.0,0.1176,34,3
1,English,English/Class-1/Chapter-02-Greetings.md,376.35,8.5,0.8235,1.1765,11.76,4.0226,1.0,1.607,3.4,12.25,0.0,0.0,17,2
1,English,English/Class-1/Chapter-02-Greetings.md,830.29,4.67,0.9286,1.2857,7.14,4.6317,0.9333,1.531,4.724,11.5556,0.3333,0.0714,14,3
1,English,English/Class-1/Chapter-02-Greetings.md,1251.85,6.5,0.7692,1.3077,15.38,4.6811,0.9286,2.571,5.677,42.25,0.0,0.0769,13,2
1,English,English/Class-1/Chapter-02-Greetings.md,454.43,7.0,1.0,1.7143,28.57,4.4291,1.0,7.369,8.514,0.0,0.0,0.1429,7,1
1,English,English/Class-1/Chapter-02-Greetings.md,392.38,4.33,0.9231,1.1538,23.08,4.7174,0.8667,-0.025,1.733,9.5556,0.0,0.0,13,3
1,English,English/Class-1/Chapter-02-Greetings.md,333.71,7.0,0.9286,1.2857,14.29,4.0221,0.9333,2.506,2.8,49.0,0.0,0.0,14,2
1,English,English/Class-1/Chapter-02-Greetings.md,272.93,7.0,0.8571,1.1429,21.43,3.974,0.9333,0.821,2.8,4.0,0.0,0.0,14,2
1,English,English/Class-1/Chapter-02-Greetings.md,584.75,12.0,1.0,1.0833,8.33,4.0809,0.9231,2.263,4.8,0.0,1.0,0.0,12,1
1,English,English/Class-1/Chapter-02-Greetings.md,726.23,11.0,0.6818,1.3182,0.0,4.5423,0.9167,4.645,8.036,16.0,0.0,0.0909,22,2
1,English,English/Class-1/Chapter-03-Picture-Time.md,738.67,9.0,1.0,1.0,44.44,5.7614,0.8182,0.5,3.6,0.0,1.0,0.0,9,1
1,English,English/Class-1/Chapter-03-Picture-Time.md,1056.1,10.0,1.0,1.1,50.0,5.9193,0.9091,1.68,4.0,0.0,0.0,0.0,10,1
1,English,English/Class-1/Chapter-03-Picture-Time.md,107.23,4.33,0.9231,1.0769,23.08,3.9839,0.9286,-1.062,1.733,0.2222,0.0,0.0,13,3
1,English,English/Class-1/Chapter-03-Picture-Time.md,1491.12,16.0,0.875,1.625,31.25,4.1891,1.0,9.825,8.9,0.0,0.0,0.0625,16,1
1,English,English/Class-1/Chapter-03-Picture-Time.md,3151.0,7.0,1.0,2.1429,57.14,5.576,1.0,12.426,8.514,0.0,0.0,0.1429,7,1
1,English,English/Class-1/Chapter-03-Picture-Time.md,2913.25,4.0,0.875,1.125,43.75,6.3536,0.9412,-0.657,1.6,27.0,0.0,0.0,16,4
1,English,English/Class-1/Chapter-03-Picture-Time.md,2902.75,4.0,0.875,1.125,50.0,6.3263,0.9412,-0.657,1.6,27.0,0.0,0.0,16,4
1,English,English/Class-1/Chapter-03-Picture-Time.md,2894.56,4.0,0.875,1.125,43.75,6.2915,0.9412,-0.657,1.6,27.0,0.0,0.0,16,4
1,English,English/Class-1/Chapter-03-Picture-Time.md,2886.38,4.0,0.875,1.125,43.75,6.2063,0.9412,-0.657,1.6,27.0,0.0,0.0,16,4
1,English,English/Class-1/Chapter-03-Picture-Time.md,2932.94,4.0,0.8125,1.125,50.0,6.1909,0.9412,-0.657,1.6,27.0,0.0,0.0,16,4
1,English,English/Class-1/Chapter-03-Picture-Time.md,1239.64,14.0,1.0,1.2143,35.71,4.9713,0.9333,4.589,5.6,0.0,0.0,0.0,14,1
1,English,English/Class-1/Chapter-03-Picture-Time.md,361.6,5.0,1.0,1.0,0.0,3.9435,1.0,-1.84,2.0,0.0,0.0,0.0,5,1
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,1094.21,6.33,0.8421,1.1579,0.0,5.3556,0.8636,0.933,2.533,6.2222,0.6667,0.0,19,3
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,626.46,6.0,0.7917,1.0833,0.0,4.543,0.96,-0.369,2.4,0.0,0.0,0.0,24,4
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,1180.33,5.25,0.8571,1.1905,0.0,5.0077,1.0,0.505,2.1,0.6875,0.0,0.0,21,4
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,831.11,9.0,0.8889,1.1111,22.22,4.0204,1.0,1.031,3.6,0.0,0.0,0.0,9,1
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,1870.52,5.75,0.5652,1.1739,0.0,4.6821,1.0,0.505,2.3,1.6875,0.0,0.0,23,4
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,1058.71,8.5,0.9412,1.1765,23.53,4.9025,1.0,1.607,3.4,12.25,0.0,0.0,17,2
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,250.29,21.0,0.7619,1.1905,0.0,3.4154,1.0,6.648,8.4,0.0,0.0,0.0,21,1
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,1131.18,8.5,0.8824,1.1765,23.53,4.7574,1.0,1.607,3.4,6.25,0.0,0.0,17,2
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,885.21,12.17,0.6575,1.4384,0.0,4.3198,0.9012,6.648,7.606,13.8056,0.6667,0.0685,73,6
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,2360.14,7.0,1.0,1.0,0.0,7.0164,1.0,-1.06,2.8,0.0,0.0,0.0,7,1
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,5360.29,7.0,1.0,1.1429,71.43,8.1985,1.0,0.626,2.8,0.0,0.0,0.0,7,1
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,253.73,5.5,0.7273,1.3636,0.0,3.6069,0.8462,3.036,5.836,30.25,0.0,0.0909,11,2
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,801.38,11.75,0.7021,1.4043,0.0,4.4532,0.9792,5.66,6.402,11.1875,0.5,0.0426,47,4
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,149.0,5.0,1.0,1.0,0.0,4.7219,1.0,-1.84,2.0,0.0,0.0,0.0,5,1
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,871.4,5.0,0.4,1.8,0.0,5.7097,1.0,7.6,18.0,0.0,0.0,0.4,5,1
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,898.4,5.0,0.4,1.8,0.0,5.9671,1.0,7.6,18.0,0.0,0.0,0.4,5,1
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,824.6,5.0,0.4,1.8,0.0,4.1263,1.0,7.6,18.0,0.0,0.0,0.4,5,1
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,860.6,5.0,0.4,1.8,0.0,5.565,1.0,7.6,18.0,0.0,0.0,0.4,5,1
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,656.7,5.0,1.0,1.4,10.0,4.969,1.0,2.88,6.0,16.0,0.0,0.1,10,2
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,502.57,11.5,0.7826,1.1739,0.0,4.3935,1.0,2.747,4.6,30.25,0.5,0.0,23,2
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,82.7,5.0,1.0,1.1,0.0,3.7055,1.0,-0.66,2.0,4.0,0.0,0.0,10,2
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,146.6,5.0,1.0,1.0,0.0,3.8371,0.7143,-1.06,2.0,0.0,0.0,0.0,5,1
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,97.8,5.0,1.0,1.1,0.0,3.7795,1.0,-0.66,2.0,4.0,0.0,0.0,10,2
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,167.8,5.0,1.0,1.0,0.0,3.8993,0.7143,-1.06,2.0,0.0,0.0,0.0,5,1
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,85.5,5.0,1.0,1.1,0.0,3.6259,1.0,-0.66,2.0,4.0,0.0,0.0,10,2
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,152.2,5.0,1.0,1.0,0.0,3.6778,0.7143,-1.06,2.0,0.0,0.0,0.0,5,1
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,1067.08,12.0,1.0,1.0833,25.0,4.8023,1.0,1.873,4.8,0.0,0.0,0.0,12,1
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,1643.0,9.0,0.2222,1.4444,0.0,6.8478,1.0,4.964,12.489,0.0,0.0,0.2222,18,2
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,5631.0,9.0,0.2778,1.0,22.22,7.3535,1.0,-0.28,3.6,0.0,0.0,0.0,18,2
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,595.55,15.67,0.6596,1.383,0.0,4.3049,0.9038,7.489,10.522,11.5556,0.3333,0.1064,47,3
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,563.57,7.0,1.0,1.1429,14.29,3.5704,0.7778,1.406,2.8,0.0,1.0,0.0,7,1
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,4521.5,12.0,1.0,1.0,75.0,7.847,1.0,0.89,4.8,0.0,0.0,0.0,12,1
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,2375.0,7.0,1.0,1.4286,42.86,5.3966,0.875,4.387,2.8,0.0,0.0,0.0,7,1
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,765.75,8.0,0.875,1.25,25.0,4.4648,0.8889,2.67,3.2,0.0,0.0,0.0,8,1
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,457.83,6.0,0.9167,1.3333,25.0,4.5167,1.0,2.483,2.4,4.0,0.0,0.0,12,2
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,1001.62,13.0,0.9231,1.2308,7.69,4.5409,0.8667,4.783,5.2,0.0,0.0,0.0,13,1
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,1880.38,6.5,0.9231,1.0,30.77,5.7361,0.7222,-0.28,2.6,2.25,0.0,0.0,13,2
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,2459.0,8.0,1.0,1.0,12.5,5.668,0.8,0.11,3.2,0.0,0.0,0.0,8,1
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,1045.0,8.0,0.875,1.0,62.5,4.884,0.8,0.11,3.2,0.0,0.0,0.0,8,1
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,1677.86,7.0,0.8571,1.0,14.29,4.8878,1.0,-1.06,2.8,0.0,0.0,0.0,7,1
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,2385.29,7.0,1.0,1.0,28.57,5.0075,0.875,-0.67,2.8,0.0,0.0,0.0,7,1
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,512.62,8.0,0.875,1.0,12.5,3.8733,1.0,-0.67,3.2,0.0,0.0,0.0,8,1
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,4368.92,4.0,0.9167,1.0,50.0,6.2629,0.8571,-1.97,1.6,4.6667,0.0,0.0,12,3
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,160.5,6.0,0.9167,1.0833,16.67,3.9047,0.9231,-0.272,2.4,36.0,0.0,0.0,12,2
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,3780.17,6.0,1.0,1.0,66.67,8.0314,1.0,-1.45,2.4,0.0,0.0,0.0,6,1
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,70.82,8.5,0.7059,1.0588,5.88,3.3596,1.0,0.219,3.4,2.25,0.0,0.0,17,2
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,119.84,6.33,1.0,1.0526,0.0,3.8772,0.95,-0.569,2.533,24.2222,0.3333,0.0,19,3
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,292.67,9.0,1.0,1.2222,11.11,3.963,0.9,2.732,3.6,0.0,1.0,0.0,9,1
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,1135.43,3.29,0.6957,1.1739,0.0,5.4727,0.9583,-0.401,1.314,3.9184,0.0,0.0,23,7
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,126.67,5.0,1.0,1.2,20.0,4.0246,0.9375,0.65,4.667,2.0,0.0,0.0667,15,3
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,341.85,13.0,1.0,1.0769,7.69,4.3058,0.8667,2.968,5.2,0.0,1.0,0.0,13,1
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,1241.0,3.5,1.0,1.0,0.0,4.8753,0.7778,-2.035,1.4,0.25,0.0,0.0,7,2
1,English,English/Class-1/Chapter-04-The-Cap-Seller-And-The-Monkeys.md,792.46,13.0,0.8462,1.0,23.08,4.0658,0.9286,1.67,5.2,0.0,0.0,0.0,13,1
1,English,English/Class-1/Chapter-05-A-Farm.md,2621.09,32.0,0.5312,1.5938,0.0,6.0756,0.8,18.816,20.3,0.0,1.0,0.1875,32,1
1,English,English/Class-1/Chapter-05-A-Farm.md,2836.06,32.0,0.5312,1.5938,0.0,6.134,0.8,18.816,20.3,0.0,1.0,0.1875,32,1
1,English,English/Class-1/Chapter-05-A-Farm.md,1123.18,7.33,0.8182,1.4545,0.0,4.4643,0.9565,4.564,8.388,6.2222,0.0,0.1364,22,3
1,English,English/Class-1/Chapter-05-A-Farm.md,264.0,7.0,0.7857,1.2143,0.0,3.8027,1.0,1.469,5.657,9.0,0.0,0.0714,14,2
1,English,English/Class-1/Chapter-05-A-Farm.md,3235.3,3.33,1.0,1.2,20.0,5.2266,0.9091,0.0,1.333,0.2222,0.0,0.0,10,3
1,English,English/Class-1/Chapter-05-A-Farm.md,173.73,11.0,1.0,1.1818,0.0,4.1708,0.9167,3.035,8.036,0.0,1.0,0.0909,11,1
1,English,English/Class-1/Chapter-05-A-Farm.md,520.38,4.0,1.0,1.0,25.0,4.3554,0.8889,-2.035,1.6,1.0,0.0,0.0,8,2
1,English,English/Class-1/Chapter-05-A-Farm.md,1727.64,7.0,1.0,1.0714,7.14,4.2175,1.0,-0.217,2.8,16.0,0.0,0.0,14,2
1,English,English/Class-1/Chapter-05-A-Farm.md,1073.17,3.0,1.0,1.0,33.33,4.9603,0.8571,-2.425,1.2,0.0,0.0,0.0,6,2
1,English,English/Class-1/Chapter-05-A-Farm.md,3161.31,4.33,0.6154,1.0,15.38,4.7823,0.9286,-1.97,1.733,0.8889,0.0,0.0,13,3
1,English,English/Class-1/Chapter-05-A-Farm.md,915.4,5.0,1.0,1.1,10.0,4.2309,1.0,-0.66,2.0,4.0,0.0,0.0,10,2
1,English,English/Class-1/Chapter-05-A-Farm.md,463.4,6.67,0.85,1.1,0.0,4.1217,0.9091,0.25,2.667,0.8889,0.0,0.0,20,3
1,English,English/Class-1/Chapter-05-A-Farm.md,314.9,6.67,0.95,1.05,0.0,4.1113,0.8696,-0.21,2.667,14.8889,0.0,0.0,20,3
1,English,English/Class-1/Chapter-05-A-Farm.md,1255.75,4.0,0.875,1.25,25.0,4.1664,0.8889,0.915,1.6,1.0,0.0,0.0,8,2
1,English,English/Class-1/Chapter-05-A-Farm.md,969.0,3.5,0.8571,1.1429,0.0,4.1946,0.7778,-0.349,1.4,0.25,0.0,0.0,7,2
1,English,English/Class-1/Chapter-05-A-Farm.md,748.4,5.0,0.9,1.1,20.0,4.271,0.8333,-0.27,2.0,4.0,0.0,0.0,10,2
1,English,English/Class-1/Chapter-05-A-Farm.md,1616.43,3.5,1.0,1.2857,14.29,4.4795,0.875,1.141,1.4,0.25,0.0,0.0,7,2
1,English,English/Class-1/Chapter-05-A-Farm.md,812.35,13.0,0.7692,1.6538,0.0,4.6841,1.0,8.995,14.431,4.0,0.5,0.2308,26,2
1,English,English/Class-1/Chapter-05-A-Farm.md,304.0,6.0,0.8889,1.1667,11.11,3.7068,0.9474,0.647,4.622,18.6667,0.3333,0.0556,18,3
1,English,English/Class-1/Chapter-05-A-Farm.md,677.26,4.6,0.6957,1.1304,0.0,4.1916,0.7419,0.167,1.84,11.04,0.2,0.0,23,5
1,English,English/Class-1/Chapter-05-A-Farm.md,188.92,13.0,1.0,1.0769,7.69,3.8661,1.0,2.188,5.2,0.0,1.0,0.0,13,1
1,English,English/Class-1/Chapter-05-A-Farm.md,416.8,12.5,0.76,1.48,0.0,4.191,1.0,6.749,9.8,2.25,0.0,0.12,25,2
1,English,English/Class-1/Chapter-05-A-Farm.md,544.71,7.0,1.0,1.2857,14.29,3.8152,0.7778,3.091,2.8,0.0,0.0,0.0,7,1
1,English,English/Class-1/Chapter-05-A-Farm.md,580.14,7.0,1.0,1.1429,0.0,3.826,0.7778,1.406,2.8,0.0,0.0,0.0,7,1
1,English,English/Class-1/Chapter-05-A-Farm.md,1001.0,7.0,1.0,1.1429,0.0,3.9149,0.7778,1.406,2.8,0.0,0.0,0.0,7,1
